epic_id,epic_title,feature_id,feature_title,story_id,story_title,story_description,story_points,priority,acceptance_criteria,relations
EP-01,Customer Account Management,FE-01,User Registration & Login,US-001,Register with email and password,"As a new customer, I want to register with my email and a password, so that I can create a personal account on the platform.",5,High,"Given I am on the registration page, When I enter a valid email and a password of at least 8 characters and click Register, Then my account is created and I receive a confirmation email. | Given I enter an email that is already registered, When I click Register, Then I see an error message stating the email is already in use. | Given I enter a password shorter than 8 characters, When I click Register, Then I see a validation error message.",
EP-01,Customer Account Management,FE-01,User Registration & Login,US-002,Login with email and password,"As a registered customer, I want to log in with my email and password, so that I can access my account.",3,High,"Given I am on the login page, When I enter correct credentials and click Login, Then I am redirected to my account dashboard. | Given I enter incorrect credentials, When I click Login, Then I see an error message and remain on the login page. | Given I fail to login 5 times consecutively, When I try again, Then my account is temporarily locked and I receive an email notification.",depends_on:US-001
EP-01,Customer Account Management,FE-01,User Registration & Login,US-003,Reset forgotten password,"As a customer who forgot my password, I want to reset it via email, so that I can regain access to my account.",3,Medium,"Given I click Forgot Password and enter my registered email, When I submit the form, Then I receive a password reset email within 2 minutes. | Given I click the reset link in the email, When the link is less than 24 hours old, Then I can set a new password. | Given I click an expired reset link, When I open it, Then I see a message that the link has expired and I am prompted to request a new one.",depends_on:US-002
EP-01,Customer Account Management,FE-01,User Registration & Login,US-004,Login with Google SSO,"As a customer, I want to log in using my Google account, so that I can authenticate quickly without a separate password.",5,Medium,"Given I click Login with Google, When I authorize the app in the Google popup, Then I am logged in and redirected to my dashboard. | Given my Google email is not yet registered, When I complete Google SSO, Then a new account is automatically created with my Google profile data. | Given I previously registered with the same email using a password, When I login via Google SSO, Then both accounts are merged.",alternative_to:US-002
EP-01,Customer Account Management,FE-02,Profile Management,US-005,Update personal information,"As a logged-in customer, I want to update my name, phone number, and profile picture, so that my account reflects my current details.",3,Medium,"Given I am on the profile page, When I update my name and click Save, Then the new name is displayed across the platform. | Given I upload a profile picture larger than 5MB, When I try to save, Then I see an error message indicating the file size limit. | Given I clear my phone number and save, When the save is successful, Then the phone number field is shown as empty.",depends_on:US-001
EP-01,Customer Account Management,FE-02,Profile Management,US-006,Manage saved addresses,"As a customer, I want to add, edit, and delete delivery addresses, so that I can quickly select a shipping address at checkout.",5,High,"Given I am on the addresses page, When I add a new address with all required fields, Then it appears in my address list. | Given I have multiple addresses, When I set one as default, Then it is pre-selected at checkout. | Given I delete an address, When I confirm deletion, Then it is removed from my list and no longer appears at checkout.",depends_on:US-005; precedes:US-020
EP-01,Customer Account Management,FE-03,Account Security,US-007,Enable two-factor authentication,"As a customer, I want to enable 2FA on my account, so that my account is protected against unauthorized access.",8,Medium,"Given I am on the security settings page, When I enable 2FA and scan the QR code with an authenticator app, Then 2FA is activated on my account. | Given 2FA is enabled, When I log in with correct credentials, Then I am prompted to enter a 6-digit code before accessing my account. | Given I enter an invalid 2FA code, When I click Verify, Then I see an error and am given 2 more attempts before being locked out.",depends_on:US-002
EP-02,Product Discovery & Search,FE-04,Product Search,US-008,Search products by keyword,"As a customer, I want to search for products by keyword, so that I can quickly find what I am looking for.",5,High,"Given I type a keyword in the search bar and press Enter, When results are available, Then I see a list of matching products within 1 second. | Given I search for a term with no matching products, When results load, Then I see a 'No results found' message with suggested alternatives. | Given I type at least 3 characters, When I pause typing, Then auto-suggest shows up to 5 matching product names.",
EP-02,Product Discovery & Search,FE-04,Product Search,US-009,Filter search results,"As a customer, I want to filter search results by category, price range, and rating, so that I can narrow down options to what suits me.",5,High,"Given I am on the search results page, When I apply a price range filter, Then only products within that range are displayed. | Given I select a category filter, When it is applied, Then the results update without a full page reload. | Given I apply multiple filters, When I clear all filters, Then the full unfiltered results are restored.",depends_on:US-008
EP-02,Product Discovery & Search,FE-04,Product Search,US-010,Sort search results,"As a customer, I want to sort search results by price, popularity, or newest, so that I can find the most relevant products faster.",3,Medium,"Given I am on the search results page, When I select Sort by Price (Low to High), Then products are re-ordered accordingly. | Given I change the sort order, When the new order is applied, Then the selected sort option remains visible and active. | Given I sort by Newest, When the sort is applied, Then products are ordered by their date added, most recent first.",depends_on:US-008
EP-02,Product Discovery & Search,FE-05,Product Catalog & Detail Pages,US-011,View product detail page,"As a customer, I want to view detailed information about a product, so that I can make an informed purchase decision.",5,High,"Given I click on a product, When the product detail page loads, Then I see the product name, price, description, images, and stock availability. | Given a product has multiple images, When I click a thumbnail, Then the main image updates to show the selected image. | Given a product is out of stock, When I view the detail page, Then the Add to Cart button is disabled and replaced with a Notify Me option.",
EP-02,Product Discovery & Search,FE-05,Product Catalog & Detail Pages,US-012,View product reviews and ratings,"As a customer, I want to read reviews and see ratings on a product page, so that I can gauge product quality from other buyers.",3,Medium,"Given I am on a product detail page, When the reviews section loads, Then I see an average star rating and a list of individual reviews. | Given there are more than 5 reviews, When I scroll to the reviews section, Then a Load More button allows me to see additional reviews. | Given a product has no reviews, When I view the reviews section, Then I see a message encouraging me to be the first to review.",depends_on:US-011
EP-02,Product Discovery & Search,FE-05,Product Catalog & Detail Pages,US-013,Browse products by category,"As a customer, I want to browse products by category, so that I can explore the catalog without a specific search term.",3,High,"Given I click on a top-level category in the navigation, When the category page loads, Then I see all products belonging to that category. | Given a category has subcategories, When I view the category page, Then subcategory filters are shown in the sidebar. | Given I select a subcategory, When it is applied, Then only products from that subcategory are displayed.",
EP-02,Product Discovery & Search,FE-06,Wishlist,US-014,Add product to wishlist,"As a logged-in customer, I want to save a product to my wishlist, so that I can return to it later.",3,Low,"Given I am on a product detail page, When I click Add to Wishlist, Then the product is saved to my wishlist and the icon changes to indicate it is saved. | Given I am not logged in, When I click Add to Wishlist, Then I am prompted to log in or register. | Given a product is already in my wishlist, When I click the wishlist icon again, Then the product is removed from my wishlist.",depends_on:US-001; depends_on:US-011
EP-03,Shopping Cart & Checkout,FE-07,Shopping Cart,US-015,Add product to cart,"As a customer, I want to add a product to my shopping cart, so that I can purchase it later.",3,High,"Given I am on a product detail page, When I click Add to Cart, Then the product is added to my cart and the cart icon in the header updates to reflect the new item count. | Given the product has variants (size, colour), When I click Add to Cart without selecting a variant, Then I see a validation message asking me to select the required options. | Given a product is limited to 10 per order, When I try to add an 11th, Then I see a message stating the maximum quantity has been reached.",depends_on:US-011
EP-03,Shopping Cart & Checkout,FE-07,Shopping Cart,US-016,Update cart item quantities,"As a customer, I want to change the quantity of items in my cart, so that I can adjust my order before checking out.",2,High,"Given I am viewing my cart, When I increase the quantity of an item, Then the line item total and cart total update immediately. | Given I set a quantity to 0, When I confirm, Then the item is removed from my cart. | Given a requested quantity exceeds available stock, When I update the quantity, Then I see a warning showing the maximum available quantity.",depends_on:US-015
EP-03,Shopping Cart & Checkout,FE-07,Shopping Cart,US-017,Apply discount code,"As a customer, I want to apply a discount code to my cart, so that I can benefit from promotions.",3,Medium,"Given I enter a valid discount code and click Apply, When the code is accepted, Then the discount is shown as a line item and the cart total is reduced accordingly. | Given I enter an invalid or expired code, When I click Apply, Then I see an error message stating the code is invalid or expired. | Given I remove a discount code, When confirmed, Then the discount is removed and the original total is restored.",depends_on:US-015
EP-03,Shopping Cart & Checkout,FE-08,Checkout Flow,US-018,Proceed to checkout,"As a customer, I want to start the checkout process from my cart, so that I can complete my purchase.",2,High,"Given I am viewing my cart with at least one item, When I click Proceed to Checkout, Then I am taken to the checkout page. | Given I am not logged in and click Proceed to Checkout, When I confirm, Then I am offered the option to log in, register, or continue as guest. | Given my cart is empty, When I view the cart page, Then the Proceed to Checkout button is disabled.",depends_on:US-015
EP-03,Shopping Cart & Checkout,FE-08,Checkout Flow,US-019,Select shipping method,"As a customer, I want to choose from available shipping options during checkout, so that I can select the speed and cost that suits me.",3,High,"Given I am on the shipping step of checkout, When I view shipping options, Then I see at least 2 options with their estimated delivery date and cost. | Given I select a shipping method, When I proceed to the next step, Then the selected shipping cost is reflected in the order summary. | Given my address qualifies for free shipping, When I view shipping options, Then the free shipping option is highlighted and pre-selected.",depends_on:US-018; depends_on:US-006
EP-03,Shopping Cart & Checkout,FE-08,Checkout Flow,US-020,Select delivery address at checkout,"As a logged-in customer, I want to select or add a delivery address during checkout, so that my order is shipped to the correct location.",3,High,"Given I am logged in and have saved addresses, When I reach the address step in checkout, Then my default address is pre-selected. | Given I want to ship to a new address, When I click Add New Address, Then I can enter a new address which is saved to my profile. | Given I am checking out as a guest, When I reach the address step, Then I can enter a delivery address without it being saved to a profile.",depends_on:US-018; following:US-006
EP-03,Shopping Cart & Checkout,FE-09,Payment,US-021,Pay by credit or debit card,"As a customer, I want to pay for my order with a credit or debit card, so that I can complete my purchase securely.",8,High,"Given I am on the payment step, When I enter valid card details and click Pay, Then my payment is processed and I am shown an order confirmation. | Given I enter an invalid card number, When I click Pay, Then I see a validation error message before the payment is submitted. | Given my card is declined by the payment provider, When this occurs, Then I see a clear message that the payment failed and I am prompted to try a different payment method.",depends_on:US-019
EP-03,Shopping Cart & Checkout,FE-09,Payment,US-022,Pay via PayPal,"As a customer, I want to pay using PayPal, so that I can use my PayPal balance or linked bank account.",5,Medium,"Given I select PayPal as the payment method, When I click Continue to PayPal, Then I am redirected to the PayPal login page. | Given I complete payment in PayPal and am redirected back, When the return is successful, Then I see my order confirmation page. | Given PayPal returns an error or I cancel, When I am redirected back, Then I see a message and can choose a different payment method.",alternative_to:US-021; depends_on:US-019
EP-04,Order Management,FE-10,Order Confirmation & Tracking,US-023,Receive order confirmation email,"As a customer, I want to receive an order confirmation email after purchase, so that I have a record of my order.",3,High,"Given I complete a successful payment, When the order is created, Then I receive a confirmation email within 2 minutes containing the order number, items, and total. | Given the confirmation email is sent, When I open it, Then I see a summary of each item with quantity, unit price, shipping address, and estimated delivery date. | Given I check out as a guest, When the order is confirmed, Then the confirmation email is sent to the email address I entered during checkout.",depends_on:US-021
EP-04,Order Management,FE-10,Order Confirmation & Tracking,US-024,Track order status,"As a customer, I want to track my order status in my account, so that I know when my delivery will arrive.",5,High,"Given I am on my order detail page, When I view the status, Then I see one of: Processing, Shipped, Out for Delivery, Delivered. | Given my order has been shipped, When I click Track Shipment, Then I am redirected to the carrier tracking page with my tracking number pre-filled. | Given my order status changes, When the update is processed, Then I receive an email notification reflecting the new status.",depends_on:US-023
EP-04,Order Management,FE-11,Returns & Refunds,US-025,Request a return,"As a customer, I want to request a return for an item in a delivered order, so that I can get a refund for an unwanted product.",5,Medium,"Given my order has been delivered and is within the 30-day return window, When I select an item and click Request Return, Then I can choose a return reason and submit the request. | Given I submit a return request, When it is received, Then I receive an email with the return instructions and a prepaid shipping label. | Given an item is not eligible for return (e.g. digital goods), When I view the order, Then the Return option is not shown for that item.",depends_on:US-024
EP-04,Order Management,FE-11,Returns & Refunds,US-026,Receive refund to original payment method,"As a customer, I want my refund credited to the original payment method, so that I recover the amount I paid.",5,Medium,"Given a return is approved, When the returned item is received by the warehouse, Then a refund is issued to the original payment method within 3 business days. | Given a refund is processed, When it is initiated, Then I receive an email confirming the refund amount and the expected credit date. | Given I paid with PayPal and my return is approved, When the refund is issued, Then the amount is credited to my PayPal account.",depends_on:US-025
EP-05,Notifications & Communications,FE-12,Email Notifications,US-027,Receive low stock alert for wishlisted item,"As a customer, I want to be notified when a wishlisted product is low in stock, so that I can act before it sells out.",3,Low,"Given a product in my wishlist drops below 5 units, When this threshold is crossed, Then I receive an email alert with a link to the product page. | Given I have already been notified about a specific low-stock item, When stock drops further, Then I do not receive a duplicate alert for the same item. | Given I have removed an item from my wishlist, When that item goes low in stock, Then I do not receive a notification for it.",depends_on:US-014
EP-05,Notifications & Communications,FE-12,Email Notifications,US-028,Manage email notification preferences,"As a customer, I want to manage which types of emails I receive, so that my inbox is not cluttered with unwanted notifications.",3,Low,"Given I am on the notification preferences page, When I unsubscribe from promotional emails, Then I no longer receive marketing emails. | Given I opt out of all marketing, When transactional emails (order confirmation, shipping) are sent, Then I still receive them regardless of my preferences. | Given I update my preferences, When I click Save, Then a confirmation message is shown and changes take effect immediately.",
EP-05,Notifications & Communications,FE-13,In-App Notifications,US-029,View in-app notification centre,"As a logged-in customer, I want to view all my recent notifications in one place, so that I do not miss important updates.",5,Medium,"Given I click the notification bell icon, When the panel opens, Then I see a list of my last 20 notifications sorted by most recent. | Given I have unread notifications, When I view the bell icon, Then a badge shows the count of unread items. | Given I click a notification, When I open it, Then I am navigated to the relevant page and the notification is marked as read.",depends_on:US-001
